,Period,Short_Description,Temperature
0,Overnight,Clear,Low: 65 °F
1,Saturday,Sunny,High: 97 °F
2,SaturdayNight,Clear,Low: 65 °F
3,Sunday,Sunny,High: 96 °F
4,SundayNight,Clear,Low: 66 °F
5,Monday,Sunny,High: 98 °F
6,MondayNight,Clear,Low: 66 °F
7,Tuesday,Sunny,High: 98 °F
8,TuesdayNight,Mostly Clear,Low: 67 °F
